ply,count
2,5
3,7
4,6
5,30
6,37
7,115
8,68
9,132
10,97
11,179
12,129
13,240
14,185
15,305
16,263
17,424
18,330
19,427
20,359
21,584
22,476
23,668
24,554
25,731
26,634
27,918
28,711
29,1007
30,840
31,1083
32,989
33,1215
34,1028
35,1356
36,2297
37,2600
38,2396
39,2780
40,2675
41,3031
42,2853
43,3046
44,2766
45,3358
46,3116
47,3286
48,3099
49,3457
50,3189
51,3427
52,3108
53,3436
54,3125
55,3284
56,3190
57,3340
58,3168
59,3215
60,2962
61,3138
62,2893
63,3068
64,2894
65,2994
66,2688
67,2697
68,2607
69,2578
70,2462
71,2550
72,2312
73,2306
74,2277
75,2181
76,2085
77,2084
78,2082
79,2031
80,1915
81,1957
82,1858
83,1774
84,1759
85,1719
86,1611
87,1700
88,1528
89,1515
90,1501
91,1216
92,1180
93,1171
94,1036
95,1151
96,996
97,921
98,943
99,990
100,834
101,877
102,901
103,884
104,853
105,753
106,802
107,829
108,757
109,801
110,699
111,761
112,690
113,729
114,637
115,667
116,617
117,575
118,596
119,622
120,618
121,581
122,592
123,556
124,511
125,577
126,510
127,483
128,515
129,454
130,437
131,450
132,411
133,425
134,404
135,364
136,337
137,338
138,326
139,357
140,333
141,308
142,295
143,269
144,256
145,273
146,272
147,231
148,211
149,196
150,197
151,206
152,186
153,162
154,169
155,173
156,139
157,134
158,141
159,144
160,107
161,113
162,125
163,115
164,89
165,96
166,89
167,104
168,79
169,83
170,77
171,76
172,68
173,60
174,57
175,56
176,48
177,52
178,45
179,49
180,51
181,66
182,48
183,34
184,40
185,38
186,35
187,45
188,32
189,24
190,32
191,34
192,26
193,26
194,21
195,25
196,23
197,18
198,23
199,31
200,31
201,25
202,21
203,27
204,22
205,21
206,17
207,29
208,18
209,11
210,19
211,18
212,21
213,13
214,18
215,17
216,8
217,4
218,8
219,9
220,12
221,4
222,9
223,8
224,2
225,8
226,15
227,6
228,5
229,7
230,5
231,6
232,7
233,7
234,5
235,5
236,8
237,6
238,7
239,2
240,8
242,7
243,4
244,1
245,1
246,2
247,4
248,4
249,1
250,4
251,2
252,4
253,3
254,3
255,2
256,1
258,1
260,1
261,1
262,1
263,1
265,3
266,1
267,2
269,1
270,1
272,2
273,2
274,1
275,2
276,2
278,3
280,1
287,1
288,1
289,3
291,2
292,1
294,1
295,1
297,1
298,1
301,1
303,1
308,1
309,2
312,1
318,1
323,1
324,2
326,1
327,1
328,1
331,1
336,1
339,1
345,3
375,1
379,1
405,1
428,1
