piece,square,is_white,period,count
pawn,d4,True,pre-ai,47204
knight,c6,False,pre-ai,37707
king,d2,True,pre-ai,7600
knight,d4,False,pre-ai,12044
king,d3,True,pre-ai,6037
king,c4,True,pre-ai,2783
knight,f6,False,pre-ai,49595
king,c5,True,pre-ai,2047
knight,b8,False,pre-ai,1209
king,b5,True,pre-ai,1628
pawn,d5,False,pre-ai,43756
king,a5,True,pre-ai,843
queen,d6,False,pre-ai,7473
queen,a6,False,pre-ai,1338
pawn,b6,False,pre-ai,14963
king,d4,True,pre-ai,3486
king,e3,True,pre-ai,7310
knight,g4,False,pre-ai,7864
king,f3,True,pre-ai,7952
knight,h6,False,pre-ai,3224
pawn,e3,True,pre-ai,15686
knight,e5,False,pre-ai,14967
king,g3,True,pre-ai,6892
pawn,c5,False,pre-ai,28338
bishop,a6,True,pre-ai,1906
bishop,a6,False,pre-ai,4086
queen,d5,True,pre-ai,5016
pawn,e6,False,pre-ai,27583
queen,e5,True,pre-ai,4565
rook,d8,False,pre-ai,20062
queen,c7,True,pre-ai,2632
rook,d5,False,pre-ai,3257
knight,f3,True,pre-ai,51561
knight,f5,False,pre-ai,5771
king,h3,True,pre-ai,3773
pawn,h5,False,pre-ai,14082
knight,g5,True,pre-ai,9510
rook,h6,False,pre-ai,1488
queen,f7,True,pre-ai,3385
king,d8,False,pre-ai,5637
queen,f8,True,pre-ai,1359
king,c7,False,pre-ai,5149
king,c6,False,pre-ai,4143
pawn,e4,True,pre-ai,44817
rook,d2,False,pre-ai,4407
pawn,f5,True,pre-ai,9792
rook,c2,False,pre-ai,4407
pawn,e6,True,pre-ai,4759
rook,c1,False,pre-ai,2884
pawn,f4,True,pre-ai,20727
pawn,g4,True,pre-ai,17457
bishop,c5,False,pre-ai,11864
pawn,b3,True,pre-ai,15523
queen,h4,False,pre-ai,4874
pawn,e5,False,pre-ai,37561
knight,c3,True,pre-ai,39939
bishop,b4,False,pre-ai,11218
pawn,f3,True,pre-ai,16029
bishop,c3,False,pre-ai,6406
pawn,c3,True,pre-ai,22354
bishop,b5,True,pre-ai,11933
pawn,c6,False,pre-ai,23879
bishop,d3,True,pre-ai,17617
pawn,e4,False,pre-ai,15919
pawn,g3,True,pre-ai,19683
queen,e7,False,pre-ai,12154
bishop,g4,False,pre-ai,13166
king,g1,True,pre-ai,39379
bishop,h3,False,pre-ai,2990
bishop,g5,True,pre-ai,15888
pawn,f6,False,pre-ai,16922
bishop,e3,True,pre-ai,16648
bishop,f1,False,pre-ai,1209
bishop,f1,True,pre-ai,2648
bishop,h6,True,pre-ai,4160
pawn,h6,False,pre-ai,18285
queen,d3,True,pre-ai,9051
king,g8,False,pre-ai,37968
rook,d1,True,pre-ai,21905
knight,d7,False,pre-ai,20972
queen,c4,True,pre-ai,4046
king,g7,False,pre-ai,12767
bishop,h3,True,pre-ai,2255
knight,b6,False,pre-ai,4818
queen,e6,True,pre-ai,3371
queen,e6,False,pre-ai,4869
bishop,e6,True,pre-ai,3388
rook,d7,True,pre-ai,4645
bishop,d7,True,pre-ai,2597
rook,d7,False,pre-ai,4821
pawn,b4,True,pre-ai,18153
bishop,c4,True,pre-ai,17532
knight,e2,True,pre-ai,10608
knight,e4,False,pre-ai,15663
knight,e4,True,pre-ai,14394
pawn,d3,True,pre-ai,13827
pawn,f4,False,pre-ai,8789
knight,f4,True,pre-ai,5051
pawn,f5,False,pre-ai,19034
knight,d5,True,pre-ai,12189
queen,e5,False,pre-ai,5450
knight,c7,True,pre-ai,2841
king,e7,False,pre-ai,11138
knight,a8,True,pre-ai,843
bishop,f4,True,pre-ai,12738
queen,b2,False,pre-ai,3672
bishop,d6,True,pre-ai,3317
king,d7,False,pre-ai,8467
bishop,c5,True,pre-ai,3504
knight,c5,True,pre-ai,4816
king,d6,False,pre-ai,6100
knight,a4,True,pre-ai,3291
pawn,b5,False,pre-ai,20566
knight,b2,True,pre-ai,576
queen,e2,True,pre-ai,13324
rook,a8,False,pre-ai,4142
pawn,c4,False,pre-ai,11614
rook,e1,True,pre-ai,25532
pawn,c3,False,pre-ai,4597
king,c5,False,pre-ai,2883
queen,c6,True,pre-ai,3039
rook,e6,True,pre-ai,3227
pawn,b2,False,pre-ai,1437
rook,e4,True,pre-ai,3556
pawn,b1,False,pre-ai,666
king,g2,True,pre-ai,12036
bishop,b7,False,pre-ai,10479
king,d5,False,pre-ai,3463
rook,e5,True,pre-ai,3644
pawn,d6,False,pre-ai,21808
knight,b4,False,pre-ai,6383
bishop,a3,True,pre-ai,3033
knight,d4,True,pre-ai,15216
pawn,d4,False,pre-ai,22555
queen,d4,True,pre-ai,7012
queen,e3,True,pre-ai,6244
pawn,a5,False,pre-ai,14150
knight,b5,True,pre-ai,7014
bishop,d7,False,pre-ai,12790
knight,d6,True,pre-ai,5115
bishop,d6,False,pre-ai,13419
pawn,e5,True,pre-ai,23475
bishop,e5,False,pre-ai,6548
king,f8,False,pre-ai,9788
bishop,e7,True,pre-ai,3008
queen,e8,False,pre-ai,2861
king,c1,True,pre-ai,8355
rook,c8,False,pre-ai,16243
rook,d6,True,pre-ai,3762
bishop,d8,True,pre-ai,906
bishop,e8,False,pre-ai,1401
bishop,f6,True,pre-ai,7089
rook,e8,True,pre-ai,3725
rook,e7,True,pre-ai,4199
pawn,a4,False,pre-ai,6212
pawn,a4,True,pre-ai,14205
pawn,c4,True,pre-ai,26978
rook,d8,True,pre-ai,4419
pawn,c5,True,pre-ai,10999
rook,e8,False,pre-ai,22958
pawn,a3,False,pre-ai,2986
pawn,c6,True,pre-ai,4459
pawn,c7,True,pre-ai,1345
king,h6,False,pre-ai,3485
pawn,c8,True,pre-ai,624
king,g5,False,pre-ai,3553
pawn,h4,False,pre-ai,6164
pawn,g3,False,pre-ai,3314
rook,h8,True,pre-ai,1783
queen,c5,True,pre-ai,2513
king,g4,False,pre-ai,2324
bishop,e2,True,pre-ai,14426
king,g3,False,pre-ai,1364
king,f4,False,pre-ai,2547
rook,f8,True,pre-ai,2505
king,f2,False,pre-ai,781
queen,f4,True,pre-ai,4285
king,e2,False,pre-ai,738
queen,f5,True,pre-ai,3490
king,e3,False,pre-ai,1436
rook,f7,True,pre-ai,3521
queen,a5,False,pre-ai,6296
pawn,b4,False,pre-ai,9389
pawn,a3,True,pre-ai,15503
queen,a4,False,pre-ai,1762
pawn,a6,False,pre-ai,18005
bishop,a4,True,pre-ai,2463
pawn,g6,False,pre-ai,23675
pawn,f3,False,pre-ai,3773
rook,b1,True,pre-ai,10493
bishop,f3,False,pre-ai,6853
rook,b7,True,pre-ai,4198
rook,f1,True,pre-ai,8684
bishop,d2,True,pre-ai,10871
bishop,a5,True,pre-ai,1084
knight,f6,True,pre-ai,4880
rook,f6,True,pre-ai,2589
bishop,g7,False,pre-ai,13089
queen,d6,True,pre-ai,2985
knight,e5,True,pre-ai,17274
bishop,h6,False,pre-ai,2885
knight,f7,True,pre-ai,3227
knight,h8,True,pre-ai,650
bishop,f4,False,pre-ai,3020
knight,g6,True,pre-ai,2446
queen,g7,False,pre-ai,1678
knight,e6,True,pre-ai,4571
knight,g7,True,pre-ai,864
bishop,d5,True,pre-ai,6198
knight,d5,False,pre-ai,14129
queen,h5,True,pre-ai,6228
knight,c2,False,pre-ai,2689
rook,c1,True,pre-ai,15418
bishop,d5,False,pre-ai,5312
queen,g5,False,pre-ai,5166
queen,g2,False,pre-ai,2626
bishop,e7,False,pre-ai,19088
bishop,c6,True,pre-ai,5998
pawn,h3,True,pre-ai,18790
king,f1,True,pre-ai,9128
knight,h2,False,pre-ai,496
knight,h2,True,pre-ai,1302
queen,h3,False,pre-ai,2360
pawn,d5,True,pre-ai,25469
bishop,f2,False,pre-ai,1823
king,f2,True,pre-ai,11205
queen,h2,False,pre-ai,1925
queen,g3,False,pre-ai,2471
king,e1,True,pre-ai,4137
king,e2,True,pre-ai,10124
queen,h5,False,pre-ai,2489
king,c3,True,pre-ai,4002
king,c8,False,pre-ai,7874
queen,g4,True,pre-ai,5621
king,b8,False,pre-ai,3286
queen,f4,False,pre-ai,3539
king,a8,False,pre-ai,909
queen,g7,True,pre-ai,2749
queen,d7,True,pre-ai,2531
rook,e4,False,pre-ai,3315
rook,e3,False,pre-ai,2952
rook,e5,False,pre-ai,3327
rook,e2,False,pre-ai,3943
bishop,e6,False,pre-ai,12719
queen,d7,False,pre-ai,9638
queen,h8,True,pre-ai,1837
bishop,f8,False,pre-ai,3250
queen,b5,False,pre-ai,2299
queen,c4,False,pre-ai,2626
queen,d4,False,pre-ai,5275
queen,b6,False,pre-ai,8098
pawn,f6,True,pre-ai,5290
queen,h7,True,pre-ai,2428
bishop,f5,False,pre-ai,11229
queen,h4,True,pre-ai,2898
bishop,c2,False,pre-ai,1396
queen,f6,False,pre-ai,9337
queen,f5,False,pre-ai,3977
rook,g8,False,pre-ai,6841
queen,c2,True,pre-ai,8586
knight,a5,False,pre-ai,3631
knight,c4,False,pre-ai,5413
knight,b2,False,pre-ai,1056
knight,d3,False,pre-ai,4765
knight,f2,False,pre-ai,2354
rook,f2,True,pre-ai,4211
pawn,d6,True,pre-ai,5023
bishop,e5,True,pre-ai,5260
rook,f8,False,pre-ai,8799
rook,f5,False,pre-ai,2749
king,e6,False,pre-ai,6940
queen,f3,True,pre-ai,11511
queen,e4,True,pre-ai,5481
queen,a4,True,pre-ai,4391
queen,b3,True,pre-ai,6536
knight,g1,True,pre-ai,761
pawn,e3,False,pre-ai,3312
knight,e3,False,pre-ai,4327
bishop,e3,False,pre-ai,3029
bishop,f7,True,pre-ai,2371
rook,f2,False,pre-ai,3380
king,e4,True,pre-ai,4116
rook,g2,False,pre-ai,2797
knight,e7,False,pre-ai,11495
bishop,b3,True,pre-ai,5207
knight,d2,True,pre-ai,16585
knight,f1,True,pre-ai,1710
knight,g3,True,pre-ai,4425
pawn,g5,False,pre-ai,16038
knight,g6,False,pre-ai,4303
knight,h5,True,pre-ai,1485
rook,h5,False,pre-ai,1521
pawn,g4,False,pre-ai,7608
rook,h7,False,pre-ai,1309
rook,h8,False,pre-ai,2894
rook,a2,True,pre-ai,1906
knight,h3,True,pre-ai,2681
rook,a1,True,pre-ai,3923
rook,h4,False,pre-ai,1829
pawn,a5,True,pre-ai,6110
pawn,a6,True,pre-ai,2855
pawn,b7,True,pre-ai,1310
king,b7,False,pre-ai,2758
bishop,c6,False,pre-ai,5301
rook,a7,True,pre-ai,3924
rook,h1,False,pre-ai,1777
rook,h2,False,pre-ai,2475
rook,a6,True,pre-ai,2707
knight,b5,False,pre-ai,1385
bishop,f6,False,pre-ai,7839
pawn,g6,True,pre-ai,3989
queen,f6,True,pre-ai,3290
king,e8,False,pre-ai,4876
queen,d5,False,pre-ai,7025
bishop,b4,True,pre-ai,2475
queen,g5,True,pre-ai,3685
knight,g5,False,pre-ai,2096
pawn,g5,True,pre-ai,8553
knight,e3,True,pre-ai,3646
knight,a6,False,pre-ai,3404
queen,d2,True,pre-ai,11319
knight,d3,True,pre-ai,3085
knight,b4,True,pre-ai,1379
rook,h7,True,pre-ai,2637
king,f7,False,pre-ai,12138
rook,g7,True,pre-ai,2756
rook,g7,False,pre-ai,1885
rook,b8,False,pre-ai,10815
pawn,e2,False,pre-ai,1100
pawn,e1,False,pre-ai,454
king,c2,True,pre-ai,4773
queen,e2,False,pre-ai,2588
king,b3,True,pre-ai,2614
queen,e3,False,pre-ai,3062
king,b4,True,pre-ai,1980
queen,d2,False,pre-ai,2569
queen,d3,False,pre-ai,2635
bishop,c3,True,pre-ai,4427
king,d1,True,pre-ai,4820
queen,c3,True,pre-ai,4219
queen,a1,False,pre-ai,1772
queen,h1,False,pre-ai,1549
pawn,b3,False,pre-ai,3336
knight,a3,True,pre-ai,3037
rook,e3,True,pre-ai,4294
knight,c2,True,pre-ai,1617
knight,f3,False,pre-ai,3955
bishop,g5,False,pre-ai,3590
pawn,h4,True,pre-ai,15384
bishop,d4,False,pre-ai,5777
rook,g5,False,pre-ai,1833
rook,h6,True,pre-ai,1979
rook,g6,False,pre-ai,2151
bishop,h8,False,pre-ai,439
rook,g4,False,pre-ai,1937
rook,g1,False,pre-ai,1542
queen,f1,True,pre-ai,1476
rook,f1,False,pre-ai,2338
knight,b3,False,pre-ai,2022
bishop,e4,True,pre-ai,6491
bishop,e4,False,pre-ai,5403
queen,d8,True,pre-ai,3119
rook,a3,True,pre-ai,1818
rook,d1,False,pre-ai,4238
rook,c3,True,pre-ai,2490
bishop,a4,False,pre-ai,1205
