elo,period,value
0-1000,Pre-AI,9.71
1000-1400,Pre-AI,8.52
1400-1800,Pre-AI,6.6
1800-2200,Pre-AI,5.43
2200-2600,Pre-AI,5.14
2600+,Pre-AI,5.16
0-1000,Early Post-AI,9.51
1000-1400,Early Post-AI,7.51
1400-1800,Early Post-AI,6.04
1800-2200,Early Post-AI,5.13
2200-2600,Early Post-AI,4.69
2600+,Early Post-AI,6.9
0-1000,NNUE Era,10.24
1000-1400,NNUE Era,8.47
1400-1800,NNUE Era,7.01
1800-2200,NNUE Era,5.89
2200-2600,NNUE Era,5.15
2600+,NNUE Era,5.41
0-1000,Modern,7.71
1000-1400,Modern,6.27
1400-1800,Modern,5.55
1800-2200,Modern,4.89
2200-2600,Modern,4.14
2600+,Modern,4.21
