ply,Early Post-AI,Modern,NNUE Era,Pre-AI
2,0,0,0,5
3,0,0,0,7
4,0,0,0,6
5,2,6,6,16
6,4,12,6,15
7,25,22,19,49
8,20,11,15,22
9,23,27,36,46
10,18,19,24,36
11,29,43,37,70
12,15,32,37,45
13,42,55,58,85
14,26,42,50,67
15,61,68,71,105
16,44,82,59,78
17,79,114,103,128
18,78,75,82,95
19,64,99,104,160
20,72,91,87,109
21,98,150,165,171
22,72,129,117,158
23,113,158,181,216
24,98,112,147,197
25,124,192,162,253
26,96,160,168,210
27,149,249,232,288
28,119,185,193,214
29,183,246,253,325
30,148,214,216,262
31,173,276,313,321
32,151,281,257,300
33,231,330,315,339
34,187,243,289,309
35,247,314,345,450
36,584,601,656,456
37,677,659,752,512
38,620,656,636,484
39,741,736,723,580
40,692,712,693,578
41,797,766,820,648
42,787,697,742,627
43,795,792,782,677
44,711,752,721,582
45,871,819,930,738
46,805,771,833,707
47,845,822,857,762
48,805,779,823,692
49,902,903,878,774
50,807,805,844,733
51,876,875,910,766
52,855,733,822,698
53,938,826,916,756
54,808,795,776,746
55,861,838,863,722
56,840,829,827,694
57,900,840,828,772
58,853,795,792,728
59,885,788,832,710
60,789,725,755,693
61,861,787,776,714
62,757,728,707,701
63,819,783,751,715
64,787,754,691,662
65,762,751,776,705
66,713,690,675,610
67,685,676,674,662
68,693,639,683,592
69,717,683,631,547
70,628,610,622,602
71,628,632,653,637
72,650,551,546,565
73,615,569,567,555
74,604,587,540,546
75,580,535,554,512
76,528,502,507,548
77,504,518,510,552
78,544,488,515,535
79,510,496,520,505
80,525,444,450,496
81,503,513,488,453
82,475,446,458,479
83,438,443,460,433
84,475,417,424,443
85,433,421,439,426
86,414,419,379,399
87,430,396,427,447
88,363,400,372,393
89,368,395,382,370
90,377,341,377,406
91,228,389,256,343
92,204,369,267,340
93,223,355,239,354
94,198,288,241,309
95,219,345,249,338
96,210,249,220,317
97,182,224,218,297
98,189,225,200,329
99,215,235,222,318
100,167,213,190,264
101,190,225,205,257
102,186,231,213,271
103,187,211,212,274
104,176,223,212,242
105,162,203,175,213
106,173,202,196,231
107,177,220,178,254
108,173,178,186,220
109,180,197,188,236
110,146,180,164,209
111,163,191,173,234
112,147,163,162,218
113,168,191,160,210
114,129,178,125,205
115,167,167,142,191
116,131,151,137,198
117,115,146,126,188
118,140,130,136,190
119,162,156,151,153
120,148,159,134,177
121,156,120,151,154
122,156,155,121,160
123,135,130,134,157
124,122,110,112,167
125,155,121,125,176
126,126,104,113,167
127,119,104,122,138
128,140,121,122,132
129,100,113,96,145
130,128,92,88,129
131,102,93,115,140
132,110,84,92,125
133,107,89,114,115
134,94,98,107,105
135,88,85,91,100
136,77,88,83,89
137,91,79,79,89
138,85,82,75,84
139,117,67,76,97
140,102,55,78,98
141,92,69,66,81
142,92,59,71,73
143,59,61,71,78
144,77,55,65,59
145,79,63,61,70
146,85,62,65,60
147,63,48,51,69
148,66,49,54,42
149,56,39,33,68
150,54,50,40,53
151,49,45,55,57
152,42,47,37,60
153,46,46,28,42
154,47,40,40,42
155,48,40,44,41
156,42,23,39,35
157,31,37,28,38
158,46,30,37,28
159,45,20,36,43
160,32,23,25,27
161,37,25,23,28
162,35,30,30,30
163,45,24,19,27
164,36,18,17,18
165,33,20,17,26
166,29,19,19,22
167,24,24,32,24
168,18,15,20,26
169,17,16,25,25
170,28,14,17,18
171,23,17,16,20
172,24,16,12,16
173,18,13,11,18
174,15,11,26,5
175,9,17,12,18
176,10,14,12,12
177,15,12,18,7
178,14,7,18,6
179,15,10,8,16
180,26,8,7,10
181,29,11,8,18
182,23,4,12,9
183,9,8,10,7
184,11,7,10,12
185,13,10,9,6
186,15,4,6,10
187,19,14,7,5
188,11,7,8,6
189,9,6,3,6
190,15,8,4,5
191,11,8,9,6
192,9,4,7,6
193,8,6,8,4
194,9,3,5,4
195,11,4,7,3
196,5,2,6,10
197,10,3,2,3
198,11,4,5,3
199,14,8,5,4
200,18,0,6,7
201,13,5,3,4
202,17,4,0,0
203,16,2,4,5
204,12,2,4,4
205,11,4,3,3
206,13,1,1,2
207,16,5,2,6
208,12,3,1,2
209,4,3,3,1
210,12,2,1,4
211,11,5,1,1
212,12,4,2,3
213,9,3,1,0
214,9,5,1,3
215,12,2,2,1
216,4,2,1,1
217,3,0,0,1
218,6,1,1,0
219,4,2,1,2
220,9,2,1,0
221,1,0,1,2
222,5,0,3,1
223,4,0,2,2
224,2,0,0,0
225,4,3,0,1
226,5,4,3,3
227,3,2,0,1
228,3,0,1,1
229,2,2,3,0
230,4,0,0,1
231,2,3,0,1
232,2,3,1,1
233,4,0,0,3
234,4,0,0,1
235,3,1,0,1
236,6,0,1,1
237,5,0,1,0
238,5,0,2,0
239,1,0,1,0
240,7,0,0,1
242,4,2,1,0
243,2,0,1,1
244,0,0,0,1
245,0,0,0,1
246,0,1,1,0
247,1,1,1,1
248,3,0,0,1
249,1,0,0,0
250,2,1,0,1
251,1,0,1,0
252,3,0,1,0
253,2,1,0,0
254,3,0,0,0
255,2,0,0,0
256,1,0,0,0
258,0,1,0,0
260,1,0,0,0
261,1,0,0,0
262,1,0,0,0
263,0,1,0,0
265,2,0,1,0
266,1,0,0,0
267,0,1,1,0
269,0,1,0,0
270,0,0,0,1
272,1,0,1,0
273,2,0,0,0
274,1,0,0,0
275,1,0,1,0
276,0,1,1,0
278,1,1,1,0
280,0,0,1,0
287,0,0,1,0
288,0,0,1,0
289,1,0,1,1
291,0,1,0,1
292,0,0,0,1
294,0,1,0,0
295,1,0,0,0
297,0,0,0,1
298,0,0,0,1
301,1,0,0,0
303,0,0,1,0
308,0,0,1,0
309,1,0,1,0
312,0,0,1,0
318,1,0,0,0
323,1,0,0,0
324,0,1,1,0
326,1,0,0,0
327,1,0,0,0
328,0,0,0,1
331,1,0,0,0
336,1,0,0,0
339,1,0,0,0
345,2,1,0,0
375,1,0,0,0
379,1,0,0,0
405,1,0,0,0
428,0,1,0,0
