ply,Early Post-AI,Modern,NNUE Era,Pre-AI
1,78.0,78.0,78.0,78.0
2,78.0,78.0,78.0,78.0
3,77.96000000000001,77.96000000000001,77.96000000000001,77.97
4,77.89,77.89,77.89,77.9
5,77.8,77.78999999999999,77.78999999999999,77.8
6,77.61,77.59,77.6,77.62
7,77.36,77.34,77.34,77.39
8,77.08,77.06,77.03999999999999,77.12
9,76.75,76.74000000000001,76.69999999999999,76.78999999999999
10,76.39,76.37,76.32,76.42
11,75.99000000000001,75.97,75.92,76.03999999999999
12,75.56,75.53,75.47999999999999,75.61
13,75.09,75.05,75.0,75.14
14,74.59,74.53999999999999,74.49000000000001,74.66
15,74.05,73.99000000000001,73.93,74.12
16,73.49000000000001,73.44,73.36,73.57
17,72.91,72.85,72.77,73.00999999999999
18,72.30000000000001,72.23,72.13999999999999,72.41
19,71.68,71.59,71.49000000000001,71.78
20,71.00999999999999,70.93,70.82,71.14
21,70.32,70.24,70.12,70.47
22,69.63,69.53,69.41,69.78999999999999
23,68.89,68.81,68.69,69.09
24,68.15,68.08,67.94999999999999,68.37
25,67.38,67.34,67.18,67.64
26,66.62,66.58000000000001,66.4,66.91
27,65.84,65.78999999999999,65.61000000000001,66.16
28,65.06,64.99000000000001,64.82,65.4
29,64.25,64.17999999999999,64.0,64.62
30,63.44,63.37,63.17,63.849999999999994
31,62.599999999999994,62.53,62.33,63.05
32,61.760000000000005,61.7,61.47,62.25
33,60.900000000000006,60.84,60.61,61.44
34,60.04,60.0,59.74,60.599999999999994
35,59.16,59.14,58.86,59.78
36,58.269999999999996,58.26,57.97,58.94
37,57.41,57.39,57.11,58.09
38,56.55,56.5,56.25,57.239999999999995
39,55.65,55.620000000000005,55.39,56.39
40,54.75,54.76,54.5,55.510000000000005
41,53.85,53.870000000000005,53.62,54.650000000000006
42,52.93,52.96,52.72,53.77
43,52.06,52.08,51.84,52.89
44,51.17,51.2,50.93,52.019999999999996
45,50.3,50.33,50.03,51.13
46,49.41,49.41,49.14,50.22
47,48.519999999999996,48.540000000000006,48.260000000000005,49.34
48,47.64,47.66,47.38,48.46
49,46.769999999999996,46.79,46.48,47.6
50,45.93,45.93,45.59,46.709999999999994
51,45.099999999999994,45.05,44.76,45.86
52,44.239999999999995,44.18,43.92,44.980000000000004
53,43.379999999999995,43.34,43.1,44.120000000000005
54,42.56,42.489999999999995,42.27,43.28
55,41.74,41.65,41.45,42.44
56,40.93,40.84,40.64,41.56999999999999
57,40.16,40.04,39.89,40.75
58,39.379999999999995,39.230000000000004,39.099999999999994,39.900000000000006
59,38.62,38.459999999999994,38.33,39.11
60,37.86,37.67,37.54,38.31
61,37.1,36.900000000000006,36.77,37.55
62,36.349999999999994,36.15,35.989999999999995,36.79
63,35.58,35.41,35.26,36.019999999999996
64,34.84,34.69,34.59,35.28
65,34.129999999999995,33.95,33.879999999999995,34.53
66,33.45,33.230000000000004,33.18,33.81
67,32.77,32.57,32.49,33.09
68,32.11,31.91,31.78,32.370000000000005
69,31.46,31.25,31.14,31.67
70,30.81,30.59,30.490000000000002,31.03
71,30.15,29.96,29.869999999999997,30.36
72,29.509999999999998,29.310000000000002,29.22,29.7
73,28.9,28.700000000000003,28.59,29.09
74,28.32,28.08,27.990000000000002,28.47
75,27.74,27.490000000000002,27.39,27.87
76,27.15,26.9,26.8,27.270000000000003
77,26.6,26.36,26.29,26.69
78,26.060000000000002,25.78,25.759999999999998,26.130000000000003
79,25.549999999999997,25.22,25.240000000000002,25.57
80,25.020000000000003,24.72,24.7,25.03
81,24.52,24.22,24.2,24.479999999999997
82,24.05,23.72,23.66,24.0
83,23.6,23.21,23.189999999999998,23.49
84,23.130000000000003,22.78,22.7,23.009999999999998
85,22.689999999999998,22.340000000000003,22.28,22.55
86,22.27,21.91,21.84,22.060000000000002
87,21.79,21.479999999999997,21.43,21.64
88,21.36,21.05,20.97,21.19
89,20.92,20.68,20.61,20.81
90,20.549999999999997,20.259999999999998,20.27,20.41
91,20.18,19.880000000000003,19.93,20.02
92,19.82,19.48,19.52,19.65
93,19.47,19.09,19.16,19.299999999999997
94,19.09,18.78,18.85,18.95
95,18.78,18.439999999999998,18.509999999999998,18.65
96,18.43,18.13,18.17,18.29
97,18.12,17.810000000000002,17.92,17.990000000000002
98,17.79,17.53,17.630000000000003,17.67
99,17.490000000000002,17.28,17.35,17.37
100,17.240000000000002,17.05,17.11,17.08
101,16.96,16.79,16.86,16.79
102,16.68,16.55,16.61,16.560000000000002
103,16.439999999999998,16.27,16.34,16.33
104,16.21,16.05,16.06,16.1
105,15.98,15.809999999999999,15.84,15.830000000000002
106,15.739999999999998,15.59,15.63,15.629999999999999
107,15.48,15.39,15.370000000000001,15.4
108,15.260000000000002,15.2,15.17,15.219999999999999
109,15.059999999999999,14.989999999999998,14.98,15.01
110,14.84,14.78,14.79,14.8
111,14.64,14.54,14.629999999999999,14.600000000000001
112,14.46,14.379999999999999,14.379999999999999,14.44
113,14.219999999999999,14.2,14.21,14.24
114,14.08,14.02,14.120000000000001,14.07
115,13.99,13.89,13.94,13.95
116,13.85,13.719999999999999,13.8,13.83
117,13.76,13.57,13.66,13.67
118,13.58,13.42,13.54,13.51
119,13.46,13.32,13.4,13.36
120,13.32,13.25,13.36,13.28
121,13.18,13.14,13.280000000000001,13.2
122,13.010000000000002,13.05,13.100000000000001,13.149999999999999
123,12.89,12.989999999999998,13.01,13.06
124,12.85,12.98,12.83,12.94
125,12.76,12.91,12.69,12.829999999999998
126,12.7,12.719999999999999,12.68,12.76
127,12.57,12.61,12.629999999999999,12.65
128,12.45,12.58,12.48,12.54
129,12.32,12.52,12.469999999999999,12.469999999999999
130,12.21,12.52,12.379999999999999,12.35
131,12.15,12.43,12.34,12.219999999999999
132,12.08,12.36,12.280000000000001,12.18
133,12.010000000000002,12.28,12.23,12.07
134,12.02,12.190000000000001,12.2,11.989999999999998
135,11.95,12.15,12.09,11.95
136,11.93,12.030000000000001,12.100000000000001,11.92
137,11.91,11.98,12.05,11.82
138,11.850000000000001,11.969999999999999,12.0,11.760000000000002
139,11.74,11.96,11.85,11.77
140,11.7,11.96,11.7,11.77
141,11.64,12.079999999999998,11.75,11.68
142,11.5,12.04,11.69,11.66
143,11.46,12.0,11.6,11.75
144,11.399999999999999,12.05,11.600000000000001,11.79
145,11.33,11.98,11.59,11.72
146,11.33,11.83,11.64,11.65
147,11.22,11.73,11.55,11.66
