piece,period,square,count
B,early-post-ai,a1,1384
B,early-post-ai,a2,1861
B,early-post-ai,a3,4490
B,early-post-ai,a4,3747
B,early-post-ai,a5,2887
B,early-post-ai,a6,5985
B,early-post-ai,a7,1640
B,early-post-ai,a8,1564
B,early-post-ai,b1,1655
B,early-post-ai,b2,9661
B,early-post-ai,b3,6841
B,early-post-ai,b4,13350
B,early-post-ai,b5,15303
B,early-post-ai,b6,4911
B,early-post-ai,b7,12822
B,early-post-ai,b8,1176
B,early-post-ai,c1,2757
B,early-post-ai,c2,4881
B,early-post-ai,c3,10579
B,early-post-ai,c4,21043
B,early-post-ai,c5,15761
B,early-post-ai,c6,11677
B,early-post-ai,c7,3556
B,early-post-ai,c8,3101
B,early-post-ai,d1,2435
B,early-post-ai,d2,12724
B,early-post-ai,d3,21568
B,early-post-ai,d4,11921
B,early-post-ai,d5,12012
B,early-post-ai,d6,17065
B,early-post-ai,d7,15172
B,early-post-ai,d8,2628
B,early-post-ai,e1,1760
B,early-post-ai,e2,16803
B,early-post-ai,e3,20252
B,early-post-ai,e4,11983
B,early-post-ai,e5,12549
B,early-post-ai,e6,16996
B,early-post-ai,e7,21985
B,early-post-ai,e8,2052
B,early-post-ai,f1,3957
B,early-post-ai,f2,3942
B,early-post-ai,f3,14011
B,early-post-ai,f4,17341
B,early-post-ai,f5,14986
B,early-post-ai,f6,15673
B,early-post-ai,f7,3971
B,early-post-ai,f8,4540
B,early-post-ai,g1,686
B,early-post-ai,g2,12297
B,early-post-ai,g3,6119
B,early-post-ai,g4,16310
B,early-post-ai,g5,19928
B,early-post-ai,g6,5998
B,early-post-ai,g7,16956
B,early-post-ai,g8,794
B,early-post-ai,h1,729
B,early-post-ai,h2,1736
B,early-post-ai,h3,5160
B,early-post-ai,h4,5112
B,early-post-ai,h5,4335
B,early-post-ai,h6,6917
B,early-post-ai,h7,1880
B,early-post-ai,h8,904
B,modern,a1,1225
B,modern,a2,1895
B,modern,a3,3959
B,modern,a4,3863
B,modern,a5,2771
B,modern,a6,5377
B,modern,a7,1745
B,modern,a8,1436
B,modern,b1,1496
B,modern,b2,8525
B,modern,b3,7152
B,modern,b4,12696
B,modern,b5,15095
B,modern,b6,5120
B,modern,b7,11655
B,modern,b8,1169
B,modern,c1,2412
B,modern,c2,4892
B,modern,c3,10087
B,modern,c4,21336
B,modern,c5,16319
B,modern,c6,11343
B,modern,c7,3514
B,modern,c8,2800
B,modern,d1,2166
B,modern,d2,11829
B,modern,d3,21689
B,modern,d4,11062
B,modern,d5,11403
B,modern,d6,16991
B,modern,d7,14607
B,modern,d8,2512
B,modern,e1,1608
B,modern,e2,15971
B,modern,e3,20025
B,modern,e4,11349
B,modern,e5,11773
B,modern,e6,16341
B,modern,e7,21368
B,modern,e8,1875
B,modern,f1,3510
B,modern,f2,3788
B,modern,f3,13199
B,modern,f4,17826
B,modern,f5,15106
B,modern,f6,14843
B,modern,f7,3959
B,modern,f8,4231
B,modern,g1,664
B,modern,g2,10252
B,modern,g3,6509
B,modern,g4,16343
B,modern,g5,19802
B,modern,g6,6284
B,modern,g7,15508
B,modern,g8,701
B,modern,h1,576
B,modern,h2,1714
B,modern,h3,4527
B,modern,h4,5197
B,modern,h5,4540
B,modern,h6,6505
B,modern,h7,1987
B,modern,h8,845
B,nnue-era,a1,1374
B,nnue-era,a2,1761
B,nnue-era,a3,3999
B,nnue-era,a4,3862
B,nnue-era,a5,2870
B,nnue-era,a6,5544
B,nnue-era,a7,1613
B,nnue-era,a8,1416
B,nnue-era,b1,1434
B,nnue-era,b2,8437
B,nnue-era,b3,7028
B,nnue-era,b4,13112
B,nnue-era,b5,15157
B,nnue-era,b6,4773
B,nnue-era,b7,11398
B,nnue-era,b8,1078
B,nnue-era,c1,2309
B,nnue-era,c2,4567
B,nnue-era,c3,10019
B,nnue-era,c4,21502
B,nnue-era,c5,16068
B,nnue-era,c6,10982
B,nnue-era,c7,3282
B,nnue-era,c8,2761
B,nnue-era,d1,2074
B,nnue-era,d2,11708
B,nnue-era,d3,20942
B,nnue-era,d4,10986
B,nnue-era,d5,11188
B,nnue-era,d6,16432
B,nnue-era,d7,14519
B,nnue-era,d8,2358
B,nnue-era,e1,1574
B,nnue-era,e2,15594
B,nnue-era,e3,19420
